#{"t_start": 1582659054.1616294, "env_id": "nailbot-v0"}
r,l,t
13.481638,11,621.60061
13.2956,11,622.602357
18.108466,11,623.630214
16.767867,11,624.546125
11.121003,11,625.511091
14.531791,11,626.424286
13.249,11,627.465661
12.477131,11,628.415665
16.484175,11,629.319157
24.111107,11,630.324371
13.882541,11,631.380727
12.316708,11,632.37048
11.581565,11,633.286059
12.114393,11,634.178991
11.770361,11,635.275702
11.395281,11,636.219879
32.881471,11,637.196795
17.600322,11,638.13869
16.17897,11,639.079722
16.417855,11,640.038826
31.545005,11,641.042026
26.22404,11,642.03143
11.108645,11,643.002461
18.58639,11,643.994416
22.549929,11,645.027035
26.716985,11,646.026203
29.583734,11,646.981158
18.371271,11,647.954647
35.034441,11,648.863357
20.61543,11,649.763489
11.67135,11,650.715564
25.701107,11,651.690777
13.99612,11,652.611608
15.006803,11,653.549084
20.535914,11,654.511896
11.762968,11,655.44028
20.504841,11,656.412305
12.95536,11,657.54678
11.437889,11,658.458549
13.227968,11,659.441975
33.85017,11,660.50979
15.811621,11,661.519721
12.93987,11,662.626515
15.836637,11,663.553917
30.593067,11,664.471658
25.937617,11,665.474758
30.867019,11,666.468242
18.112991,11,667.510449
15.519894,11,668.57592
14.691289,11,669.616907
17.291157,11,670.442279
15.328181,11,671.42364
14.755049,11,672.536784
21.165993,11,673.484794
14.930603,11,674.330929
24.940145,11,675.408298
18.629847,11,676.374395
16.995944,11,677.294195
21.09403,11,678.271418
20.92328,11,679.268828
16.805268,11,680.356514
19.572056,11,681.336874
12.819664,11,682.287554
12.997686,11,683.256938
11.304815,11,684.182297
11.868197,11,685.066971
18.237742,11,686.076965
17.447342,11,687.026432
18.983825,11,687.990793
16.028032,11,688.914585
13.873428,11,689.82193
34.548594,11,690.913312
30.840789,11,691.985919
15.071822,11,692.963443
27.276103,11,693.991664
27.83567,11,695.09733
16.08136,11,696.017964
12.962313,11,696.975425
12.992551,11,698.03767
30.102382,11,699.085323
31.020189,11,700.044005
20.846415,11,701.018372
27.505218,11,702.01485
35.136684,11,703.168576
48.884736,11,704.267779
27.484372,11,705.24098
12.849712,11,706.155157
28.259128,11,707.179366
17.60565,11,708.153871
16.235071,11,709.110214
17.500654,11,710.061705
13.077213,11,711.04359
23.004782,11,712.094318
10.985327,11,713.02831
48.032755,11,714.170349
37.058723,11,715.325775
20.23767,11,716.486977
27.422917,11,717.522717
20.318656,11,718.52637
25.870759,11,719.640374
11.87788,11,720.623597
11.210765,11,721.54377
18.087289,11,722.485129
17.879639,11,723.425745
13.955729,11,724.399478
13.865578,11,725.411789
13.081858,11,726.225849
37.011252,11,727.493387
25.089651,11,728.439889
20.398362,11,729.386338
14.708776,11,730.416476
12.531643,11,731.339183
16.503417,11,732.269859
18.457507,11,733.204519
12.379723,11,734.158141
13.00575,11,735.097391
